N 512, L 9.000000, T 0.728000
Ecin	Epot	Etot
52.465176	-4894.034511	-4841.569335
52.458001	-4894.024374	-4841.566373
52.436484	-4894.007505	-4841.571021
52.400646	-4893.983698	-4841.583052
52.350520	-4893.952887	-4841.602367
52.286153	-4893.915889	-4841.629735
52.207606	-4893.871947	-4841.664341
52.114950	-4893.821402	-4841.706452
52.008270	-4893.764172	-4841.755901
51.887666	-4893.700261	-4841.812595
51.753247	-4893.629988	-4841.876742
51.605136	-4893.776880	-4842.171745
51.444036	-4894.141209	-4842.697173
51.271153	-4894.276611	-4843.005458
51.086576	-4894.852678	-4843.766102
50.890746	-4896.540082	-4845.649336
50.686647	-4899.341508	-4848.654861
50.478286	-4901.693523	-4851.215236
50.266667	-4904.711608	-4854.444941
50.051726	-4910.408447	-4860.356721
49.838180	-4915.434845	-4865.596665
49.628611	-4921.799692	-4872.171081
49.423272	-4930.175497	-4880.752225
49.225951	-4939.893041	-4890.667090
49.040262	-4950.505796	-4901.465535
48.868079	-4958.441035	-4909.572956
48.706514	-4968.163999	-4919.457485
48.553828	-4976.101120	-4927.547292
48.409546	-4986.496155	-4938.086609
48.273809	-4995.551886	-4947.278077
48.147285	-5003.715322	-4955.568037
48.027288	-5009.868622	-4961.841334
47.910859	-5019.147822	-4971.236963
47.798801	-5028.874614	-4981.075813
47.693962	-5035.921368	-4988.227407
47.594155	-5047.212019	-4999.617864
47.500366	-5056.940162	-5009.439796
47.414640	-5066.445640	-5019.030999
47.335298	-5075.505238	-5028.169940
47.261575	-5085.012075	-5037.750500
47.193471	-5093.626412	-5046.432941
47.130642	-5100.230154	-5053.099512
47.070879	-5109.290190	-5062.219311
47.014409	-5117.233905	-5070.219496
46.962131	-5124.507687	-5077.545556
46.912859	-5131.334389	-5084.421530
46.866071	-5136.374117	-5089.508046
46.820399	-5141.859564	-5095.039164
46.774969	-5148.684831	-5101.909862
46.730952	-5153.945415	-5107.214463
46.688394	-5161.886369	-5115.197975
46.647798	-5167.817298	-5121.169500
46.609770	-5174.194838	-5127.585068
46.574012	-5178.116058	-5131.542046
46.539487	-5182.706256	-5136.166769
46.505292	-5185.956514	-5139.451222
46.471471	-5190.992589	-5144.521118
46.438497	-5195.135345	-5148.696848
46.406968	-5200.841524	-5154.434556
46.377316	-5207.441836	-5161.064520
46.351166	-5211.809540	-5165.458374
46.328194	-5216.847381	-5170.519187
46.307644	-5222.109514	-5175.801870
46.290129	-5225.585968	-5179.295839
46.275148	-5227.722900	-5181.447752
46.261552	-5231.647041	-5185.385488
46.249872	-5237.135310	-5190.885438
46.241902	-5240.838419	-5194.596517
46.237735	-5243.425796	-5197.188061
46.236317	-5245.791223	-5199.554906
46.237496	-5249.497550	-5203.260055
46.242100	-5252.312176	-5206.070076
46.250497	-5255.128165	-5208.877668
46.262640	-5257.946306	-5211.683667
46.278973	-5261.659655	-5215.380682
46.300176	-5262.918399	-5216.618223
46.325848	-5265.519317	-5219.193470
46.355778	-5269.685517	-5223.329739
46.391336	-5274.077942	-5227.686606
46.433516	-5276.686432	-5230.252916
46.482148	-5278.628008	-5232.145860
46.536603	-5279.902548	-5233.365945
46.596684	-5282.295990	-5235.699306
46.662908	-5284.469409	-5237.806501
46.735913	-5286.645996	-5239.910084
46.815783	-5288.602597	-5241.786815
46.902968	-5291.233235	-5244.330267
46.998143	-5293.867548	-5246.869405
47.101804	-5296.282375	-5249.180571
47.213990	-5299.817857	-5252.603867
47.335177	-5301.124737	-5253.789560
47.465309	-5302.212148	-5254.746839
47.603631	-5303.750520	-5256.146889
47.750559	-5306.410255	-5258.659696
47.907218	-5309.074360	-5261.167142
48.074326	-5310.850307	-5262.775981
48.251553	-5312.407592	-5264.156039
48.439122	-5315.310313	-5266.871190
48.637708	-5317.324874	-5268.687166
48.847567	-5319.791385	-5270.943818
