N 125, L 5.928156, rho 0.6
Ecin	Epot	H
270.448659	-425.615582	-1.556201
268.812635	-423.978439	-1.563421
266.719045	-421.883791	-1.551035
264.597954	-419.761553	-1.538666
262.825605	-417.988678	-1.535441
261.599844	-416.763086	-1.529450
260.965198	-416.128601	-1.535499
260.925058	-416.088278	-1.540912
261.469783	-416.633081	-1.538913
262.467895	-417.632347	-1.545640
263.637143	-418.802439	-1.551791
264.705587	-419.871038	-1.543258
265.568086	-420.733333	-1.549999
266.222406	-421.387903	-1.555302
266.627908	-421.793101	-1.554501
266.717360	-421.882782	-1.545947
266.528139	-421.693215	-1.541712
266.196494	-421.360979	-1.541851
265.769381	-420.934158	-1.543603
265.115681	-420.281077	-1.527155
264.081572	-419.246907	-1.524092
262.694972	-417.859532	-1.532169
261.204173	-416.367623	-1.541326
259.961649	-415.124417	-1.535157
259.262976	-414.425490	-1.546285
259.207297	-414.370581	-1.545431
259.645723	-414.809181	-1.535919
260.250829	-415.415244	-1.534647
260.685365	-415.850592	-1.538651
260.773861	-415.938889	-1.537179
260.601797	-415.765880	-1.535670
260.506345	-415.669701	-1.536145
260.942193	-416.104491	-1.537652
262.197543	-417.360083	-1.545195
264.160479	-419.324636	-1.541523
266.349884	-421.515719	-1.530423
268.158396	-423.324564	-1.531793
269.104865	-424.272455	-1.539655
268.970647	-424.137995	-1.548357
267.846689	-423.012874	-1.542286
266.119425	-421.284011	-1.524402
264.375219	-419.538073	-1.514703
263.190682	-418.353335	-1.510275
262.902935	-418.065277	-1.500601
263.488656	-418.651761	-1.512607
264.643707	-419.808353	-1.513411
266.028110	-421.192691	-1.521296
267.460084	-422.624482	-1.546195
268.958178	-424.121930	-1.546419
270.619091	-425.782871	-1.534231
272.441885	-427.605575	-1.552861
274.217037	-429.381816	-1.547548
275.575784	-430.741663	-1.554235
276.135348	-431.301973	-1.563545
275.626141	-430.792665	-1.574223
273.945252	-429.111712	-1.553793
271.167811	-426.333847	-1.555747
267.580023	-422.744402	-1.544912
263.733193	-418.896130	-1.551228
260.409680	-415.570148	-1.525740
258.398793	-413.558395	-1.528695
258.114520	-413.274363	-1.548795
259.368445	-414.530094	-1.533376
261.511888	-416.675831	-1.546145
263.796286	-418.961584	-1.544234
265.687734	-420.853606	-1.556603
266.976615	-422.141523	-1.567283
267.755323	-422.919501	-1.566408
268.307587	-423.470439	-1.569519
268.982750	-424.145156	-1.558165
270.041464	-425.203366	-1.550890
271.540669	-426.702942	-1.550812
273.325992	-428.488880	-1.566434
275.133532	-430.297104	-1.574579
276.709064	-431.873000	-1.570883
277.899008	-433.063056	-1.576879
278.640866	-433.804910	-1.569413
278.921754	-434.086078	-1.578455
278.727237	-433.891828	-1.575580
278.044186	-433.209076	-1.553527
276.893921	-432.058606	-1.539005
275.365248	-430.529779	-1.547382
273.630910	-428.794921	-1.540245
271.947388	-427.110571	-1.546766
270.614977	-425.777674	-1.539253
269.921629	-425.083684	-1.534741
270.060142	-425.222303	-1.528223
271.013011	-426.175921	-1.530646
272.482120	-427.646668	-1.535305
273.909599	-429.076368	-1.544859
274.600726	-429.769188	-1.537756
273.917759	-429.087486	-1.537319
271.550859	-426.720142	-1.550527
267.858727	-423.025685	-1.534448
264.053203	-419.215736	-1.529330
261.639869	-416.800730	-1.523602
261.232362	-416.395094	-1.531342
262.093183	-417.259217	-1.547179
262.992775	-418.160903	-1.543356
263.204412	-418.371793	-1.531732
